82	0.4224	0.4224	0.4224	194.14	0.83	0.83	0.7	0.7
83	0.4301	0.4301	0.4301	185.3	1.7	1.7	1.1	1.1
84	0.4301	0.4258	0.4344	185.3	1.7	1.7	1.1	1.1
85	0.431	0.431	0.431	188.9	2.9	2.9	0	0
86	0.4357	0.421	0.4504	181	3.6	3.6	0	0
87	0.4375	0.4375	0.4375	187.91	0.76	0.76	0.7	0.7
88	0.4404	0.4246	0.4562	183.7	5	5	0	0
89	0.4415	0.4415	0.4415	176.2	1.6	1.6	1.1	1.1
90	0.4415	0.43709	0.44592	176.2	1.6	1.6	1.1	1.1
91	0.442	0.442	0.442	178.5	0.6	0.6	1.5	1.5
92	0.44412	0.42241	0.46499	188	4.9	4.9	0	0
93	0.445	0.445	0.445	184.6	0.29	0.29	0	0
94	0.446	0.446	0.446	188.4	3.3	3.3	0	0
95	0.44797	0.42858	0.46674	187	1.4	1.4	0.3	0.3
96	0.451	0.451	0.451	184.89	0.51	0.51	0.7	0.7
97	0.4529	0.44837	0.45743	177.1	1.5	1.5	1.1	1.1
98	0.4529	0.4529	0.4529	177.1	1.5	1.5	1.1	1.1
99	0.4539	0.4395	0.4683	179.5	4.8	4.8	0	0
100	0.455	0.455	0.455	178.6	0.8	0.8	1.5	1.5
101	0.458	0.458	0.458	183.4	0.27	0.27	0	0
102	0.462	0.462	0.462	182.67	0.43	0.43	0.7	0.7
103	0.4632	0.45857	0.46783	174.4	1.6	1.6	1.1	1.1
104	0.4632	0.4632	0.4632	174.4	1.6	1.6	1.1	1.1
105	0.4662	0.4523	0.4801	169.2	4.7	4.7	0	0
106	0.46746	0.44831	0.48601	179.5	4.5	4.5	0	0
107	0.468	0.468	0.468	173.4	0.6	0.6	1.5	1.5
108	0.471	0.471	0.471	177.9	0.26	0.26	0	0
109	0.4722	0.4722	0.4722	179.42	0.54	0.54	0.7	0.7
110	0.47363	0.45649	0.49032	177.9	1.1	1.1	0.3	0.3
111	0.4754	0.47065	0.48015	169.4	1.6	1.6	1.2	1.2
