1	0.14	0.14	0.14	314	13	13	0	0
2	0.19	0.19	0.19	155	2	2	0	0
3	0.24	0.24	0.24	92	1	1	0	0
4	0.28	0.28	0.28	70	1	1	0	0
5	0.31	0.31	0.31	52.8	6	6	0	0
6	0.35	0.35	0.35	42.5	0.4	0.4	0	0
7	0.37	0.37	0.37	37.4	2.3	2.3	0	0
8	0.39	0.39	0.39	33.9	2	2	0	0
9	0.43	0.43	0.43	28.5	1.3	1.3	0	0
10	0.44	0.44	0.44	27.7	1.3	1.3	0	0
11	0.49	0.49	0.49	24.8	0.8	0.8	0	0
12	0.54	0.54	0.54	25.2	1.2	1.2	0	0
13	0.57	0.57	0.57	26.1	1	1	0	0
14	0.59	0.59	0.59	23.2	1.9	1.9	0	0
15	0.60658	0.60289	0.61026	24.2	0.24	0.24	0	0
16	0.607	0.587	0.627	24.55	0.12	0.12	0.8	0.8
17	0.65847	0.65148	0.66541	25.8	2	2	0	0
18	0.69	0.69	0.69	22.4	0.9	0.9	0	0
19	0.72	0.72	0.72	22.4	1.8	1.8	0	0
20	0.75	0.75	0.75	22.6	1.3	1.3	0	0
21	0.757	0.737	0.777	23.85	0.1	0.1	0.8	0.8
22	0.75732	0.75413	0.7605	23.85	0.23	0.23	0	0
23	0.83	0.83	0.83	24.3	1	1	0	0
24	0.83086	0.81875	0.84288	24.3	1	1	0	0
25	0.846	0.835	0.857	24.4	0.4	0.4	0.5	0.5
26	0.85	0.85	0.85	23.4	0.9	0.9	0	0
27	0.87179	0.86885	0.87473	24.55	0.23	0.23	0	0
28	0.872	0.852	0.892	24.45	0.1	0.1	0.8	0.8
29	0.88	0.88	0.88	23.2	0.3	0.3	0	0
30	0.93	0.93	0.93	24.4	0.4	0.4	0	0
31	0.937	0.917	0.957	25.65	0.1	0.1	0.8	0.8
32	0.93736	0.93453	0.94019	25.7	0.23	0.23	0	0
33	0.963	0.943	0.983	26.3	0.1	0.1	0.8	0.8
34	0.96336	0.96056	0.96615	26.5	0.23	0.23	0	0
35	0.96545	0.95146	0.97935	24	1	1	0	0
36	0.96824	0.96824	0.96824	26.9	0.7	0.7	3	3
37	0.96824	0.95678	0.97962	26.5	1.4	1.3	0	0
38	1	0.989	1.011	28	0.4	0.4	0.5	0.5
